company_id,kaggle_name
DE_NEERS_TOOLS,De Neers Tools Ltd
AMBANI_ORGANICS,Ambani Organics Ltd
MAESTROS_ELECTRONICS_TELECOMMUN_SYSTEMS,Maestros Electronics _ Telecommun. Systems Ltd
KELTECH_ENERGIES,Keltech Energies Ltd
JAIN_IRRIGATION_SYSTEMS,Jain Irrigation Systems Ltd
EURO_ASIA_EXPORTS,Euro Asia Exports Ltd
COUNTRY_CLUB_HOSPITALITY_HOLIDAYS,Country Club Hospitality _ Holidays Ltd
ZODIAC_JRD_MKJ,Zodiac-JRD-MKJ Ltd
CHALLANI_CAPITAL,Challani Capital Ltd
SHANTAI_INDUSTRIES,Shantai Industries Ltd
ANUPAM_FINSERV,Anupam Finserv Ltd
ANJANI_FOODS,Anjani Foods Ltd
CITY_UNION_BANK,City Union Bank Ltd
IRONWOOD_EDUCATION,Ironwood Education Ltd
JOY_REALTY,Joy Realty Ltd
UNIFINZ_CAPITAL_INDIA,Unifinz Capital India Ltd
AMEYA_PRECISION_ENGINEERS,Ameya Precision Engineers Ltd
IGC_INDUSTRIES,IGC Industries Ltd
ZODIAC_CLOTHING_COMPANY,Zodiac Clothing Company Ltd
SG_FINSERVE,SG Finserve Ltd
ITI,ITI Ltd
SOUTHERN_MAGNESIUM_CHEMICALS,Southern Magnesium _ Chemicals Ltd
MAHINDRA_HOLIDAYS_RESORTS_INDIA,Mahindra Holidays _ Resorts India Ltd
ABHISHEK_FINLEASE,Abhishek Finlease Ltd
GEM_SPINNERS_INDIA,Gem Spinners India Ltd
SHANTI_SPINTEX,Shanti Spintex Ltd
PALM_JEWELS,Palm Jewels Ltd
MAHICKRA_CHEMICALS,Mahickra Chemicals Ltd
GANESHA_ECOVERSE,Ganesha Ecoverse Ltd
INTEGRATED_PERSONNEL_SERVICES,Integrated Personnel Services Ltd
OSCAR_GLOBAL,Oscar Global Ltd
COSPOWER_ENGINEERING,Cospower Engineering Ltd
CIPLA,Cipla Ltd
RANDER_CORPORATION,Rander Corporation Ltd
COMFORT_COMMOTRADE,Comfort Commotrade Ltd
PRAKASH_STEELAGE,Prakash Steelage Ltd
PARIN_FURNITURE,Parin Furniture Ltd
LCC_INFOTECH,LCC Infotech Ltd
ASIAN_HOTELS_(NORTH),Asian Hotels (North) Ltd
STOVEC_INDUSTRIES,Stovec Industries Ltd
WEST_LEISURE_RESORTS,West Leisure Resorts Ltd
DUCOL_ORGANICS_COLOURS,Ducol Organics _ Colours Ltd
RAMA_PHOSPHATES,Rama Phosphates Ltd
CE_INFO_SYSTEMS,C.E. Info Systems Ltd
METAL_COATINGS_(INDIA),Metal Coatings (India) Ltd
PRESSURE_SENSITIVE_SYSTEMS_(INDIA),Pressure Sensitive Systems (India) Ltd
HINDUSTAN_ZINC,Hindustan Zinc Ltd
BINNY_MILLS,Binny Mills Ltd
ASTRON_PAPER_BOARD_MILL,Astron Paper _ Board Mill Ltd
JET_INFRAVENTURE,Jet Infraventure Ltd
MCON_RASAYAN_INDIA,MCON Rasayan India Ltd
CAN_FIN_HOMES,Can Fin Homes Ltd
JSL_INDUSTRIES,JSL Industries Ltd
CORAL_NEWSPRINTS,Coral Newsprints Ltd
RANE_(MADRAS),Rane (Madras) Ltd
MAHINDRA_EPC_IRRIGATION,Mahindra EPC Irrigation Ltd
SRI_HAVISHA_HOSPITALITY_INFRASTRUCTURE,Sri Havisha Hospitality _ Infrastructure Ltd
PRO_CLB_GLOBAL,Pro CLB Global Ltd
GIRIRAJ_CIVIL_DEVELOPERS,Giriraj Civil Developers Ltd
QUEST_SOFTECH_INDIA,Quest Softech India Ltd
POLYCON_INTERNATIONAL,Polycon International Ltd
INDRAYANI_BIOTECH,Indrayani Biotech Ltd
LIKHITHA_INFRASTRUCTURE,Likhitha Infrastructure Ltd
BLB,BLB Ltd
GOYAL_ALUMINIUMS,Goyal Aluminiums Ltd
WARREN_TEA,Warren Tea Ltd
KELLTON_TECH_SOLUTIONS,Kellton Tech Solutions Ltd
